school,famsize,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,freetime,goout,absences,G1,G2,G3,source,Pass
GP,GT3,2,2,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,1,2,8,7,8,8,mat,0
GP,GT3,3,3,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,3,3,2,16,18,18,mat,1
GP,GT3,4,4,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,3,5,6,10,13,13,mat,1
GP,LE3,4,4,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,4,5,4,14,15,16,mat,1
GP,LE3,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,5,3,6,18,19,19,mat,1
GP,GT3,3,3,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,1,2,0,7,10,10,mat,1
GP,GT3,2,2,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,1,2,6,10,13,13,mat,1
GP,LE3,4,2,course,mother,1,1,0,no,no,no,no,yes,yes,yes,5,2,10,18,19,19,mat,1
GP,GT3,2,1,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,4,2,8,9,9,9,mat,0
GP,GT3,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,4,4,2,15,15,16,mat,1
GP,GT3,4,4,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,4,3,2,11,13,14,mat,1
GP,GT3,3,3,home,father,2,1,0,no,no,no,yes,yes,yes,yes,4,2,0,13,14,13,mat,1
GP,GT3,1,3,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,2,4,20,9,7,8,mat,0
GP,GT3,3,4,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,4,3,6,14,13,13,mat,1
GP,GT3,1,2,course,mother,1,2,0,no,no,no,no,no,yes,yes,2,3,2,16,15,15,mat,1
GP,GT3,2,2,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,5,4,6,16,14,15,mat,1
GP,LE3,2,4,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,2,2,2,13,13,13,mat,1
GP,GT3,4,4,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,4,4,18,14,11,13,mat,1
GP,GT3,2,2,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,4,4,0,8,7,8,mat,0
GP,GT3,3,4,home,father,1,1,0,yes,no,no,no,yes,yes,yes,5,5,0,13,13,12,mat,1
GP,LE3,3,4,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,3,2,0,7,10,11,mat,1
GP,GT3,0,1,course,other,1,2,3,no,yes,no,no,no,no,no,4,2,2,7,8,9,mat,0
GP,GT3,4,4,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,5,5,8,18,18,18,mat,1
GP,LE3,2,2,course,father,1,1,0,no,yes,no,no,yes,yes,yes,4,4,12,10,13,12,mat,1
GP,GT3,3,4,course,father,1,1,0,no,no,no,no,yes,yes,yes,2,1,16,12,11,11,mat,1
GP,LE3,1,1,course,mother,1,2,1,no,no,no,no,yes,yes,no,4,4,0,14,12,12,mat,1
GP,GT3,4,4,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,3,2,0,16,16,15,mat,1
GP,LE3,2,2,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,3,3,8,9,9,9,mat,0
GP,GT3,4,4,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,2,2,2,9,11,11,mat,1
GP,LE3,1,1,course,mother,1,1,0,no,no,no,no,yes,yes,yes,4,4,2,14,14,13,mat,1
GP,GT3,1,1,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,4,2,0,8,11,11,mat,1
GP,GT3,1,2,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,3,2,2,10,11,11,mat,1
GP,LE3,2,1,course,mother,4,1,3,no,no,no,no,yes,yes,yes,5,5,0,8,9,10,mat,1
GP,LE3,2,1,course,mother,1,1,1,no,no,no,yes,yes,yes,no,4,4,6,12,13,14,mat,1
GP,GT3,3,3,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,2,1,8,10,10,10,mat,1
GP,GT3,4,4,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,2,1,0,11,11,12,mat,1
GP,GT3,2,3,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,4,4,2,11,8,8,mat,0
GP,LE3,1,2,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,2,2,8,16,12,13,mat,1
GP,GT3,1,1,course,mother,3,1,3,no,yes,no,yes,no,yes,no,2,5,6,9,8,10,mat,1
GP,GT3,2,2,course,mother,3,1,0,no,no,no,no,no,yes,no,2,2,2,17,15,15,mat,1
GP,GT3,3,3,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,5,5,4,10,12,12,mat,1
GP,GT3,3,2,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,4,4,6,5,9,7,mat,0
GP,LE3,1,1,course,mother,4,2,3,no,no,no,yes,yes,no,no,3,5,0,5,8,7,mat,0
GP,GT3,3,2,course,mother,2,1,1,no,yes,no,yes,no,no,no,5,2,16,12,11,12,mat,1
GP,GT3,2,2,course,father,1,2,0,no,no,no,no,yes,no,yes,3,5,4,10,10,10,mat,1
GP,GT3,4,2,home,father,1,2,0,no,no,yes,no,yes,yes,yes,2,3,0,14,15,16,mat,1
GP,GT3,4,4,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,2,0,14,14,14,mat,1
GP,GT3,1,0,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,3,2,2,13,15,16,mat,1
GP,LE3,3,3,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,4,5,4,10,11,9,mat,0
GP,LE3,4,3,course,mother,2,2,0,no,no,yes,yes,yes,yes,yes,4,4,4,10,9,9,mat,0
GP,GT3,2,2,reputation,mother,2,2,0,no,no,yes,yes,no,yes,yes,4,4,2,13,13,11,mat,1
GP,GT3,3,3,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,3,4,4,6,5,6,mat,0
GP,GT3,4,2,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,3,3,10,10,8,9,mat,0
GP,GT3,4,3,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,2,3,4,10,10,11,mat,1
GP,GT3,4,3,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,10,9,8,8,mat,0
GP,GT3,3,3,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,2,3,2,12,13,12,mat,1
GP,GT3,2,4,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,4,2,0,16,17,17,mat,1
GP,LE3,3,3,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,3,3,56,9,9,8,mat,0
GP,GT3,3,2,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,2,2,14,12,13,12,mat,1
GP,GT3,3,3,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,3,4,12,12,12,11,mat,1
GP,GT3,1,2,other,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,3,3,2,11,12,11,mat,1
GP,LE3,2,1,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,2,3,0,15,15,15,mat,1
GP,GT3,3,3,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,3,3,6,8,7,9,mat,0
GP,GT3,1,2,home,mother,1,2,0,no,no,no,no,yes,yes,no,1,3,4,8,9,10,mat,1
GP,GT3,2,3,course,mother,1,2,0,no,no,no,no,yes,yes,yes,3,3,10,11,12,13,mat,1
GP,GT3,1,1,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,3,3,0,8,8,9,mat,0
GP,GT3,1,2,other,other,2,2,0,no,no,yes,yes,no,yes,yes,4,4,12,7,8,8,mat,0
GP,GT3,3,3,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,3,2,8,8,9,10,mat,1
GP,GT3,2,3,home,father,2,1,0,no,no,no,no,yes,yes,yes,3,3,0,13,14,14,mat,1
GP,LE3,2,4,course,father,1,2,0,no,no,no,yes,yes,yes,yes,3,2,0,14,15,15,mat,1
GP,GT3,4,4,home,mother,1,1,0,no,no,no,no,yes,yes,yes,2,3,4,17,15,16,mat,1
GP,LE3,3,3,home,father,3,1,0,no,yes,yes,yes,yes,yes,yes,3,4,8,9,9,10,mat,1
GP,GT3,4,4,home,mother,2,1,1,no,yes,no,no,yes,yes,yes,2,4,24,18,18,18,mat,1
GP,LE3,4,4,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,5,2,0,9,9,10,mat,1
GP,GT3,4,3,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,3,5,2,16,16,16,mat,1
GP,GT3,2,3,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,4,3,6,8,10,10,mat,1
GP,GT3,1,1,course,mother,1,2,0,no,yes,yes,no,no,yes,no,4,4,4,9,9,10,mat,1
GP,GT3,2,2,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,3,2,18,7,6,6,mat,0
GP,GT3,2,2,reputation,mother,2,4,0,no,yes,yes,yes,no,yes,yes,3,5,6,10,10,11,mat,1
GP,GT3,3,4,home,mother,1,3,1,no,yes,yes,no,yes,yes,yes,4,3,28,10,9,9,mat,0
GP,GT3,3,1,course,mother,1,2,3,no,yes,yes,no,yes,yes,yes,3,3,5,7,7,7,mat,0
GP,GT3,4,3,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,3,2,10,11,12,13,mat,1
GP,GT3,1,1,home,mother,2,1,0,no,yes,yes,no,yes,yes,no,3,2,6,9,9,10,mat,1
GP,GT3,4,3,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,4,2,6,7,7,7,mat,0
GP,GT3,3,3,reputation,other,1,4,0,no,yes,yes,yes,yes,yes,yes,3,3,10,8,8,8,mat,0
GP,LE3,4,4,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,3,5,13,12,12,13,mat,1
GP,GT3,2,2,reputation,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,3,4,0,12,13,14,mat,1
GP,GT3,2,2,home,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,4,4,15,6,7,8,mat,0
GP,LE3,4,4,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,2,1,12,8,10,10,mat,1
GP,LE3,3,2,reputation,mother,2,2,0,no,no,yes,no,yes,yes,yes,4,4,2,14,15,15,mat,1
GP,GT3,4,3,reputation,mother,1,2,2,no,no,yes,no,yes,yes,yes,4,5,22,6,6,4,mat,0
GP,LE3,3,3,home,father,1,2,1,no,yes,yes,no,yes,yes,yes,2,4,13,6,6,8,mat,0
GP,GT3,2,3,home,father,2,1,0,no,yes,yes,no,yes,yes,no,3,3,3,7,7,8,mat,0
GP,GT3,2,2,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,3,3,4,9,10,10,mat,1
GP,GT3,2,1,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,2,5,2,6,6,6,mat,0
GP,GT3,2,3,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,3,1,2,16,16,17,mat,1
GP,GT3,2,2,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,3,3,0,12,13,13,mat,1
GP,GT3,4,4,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,3,2,0,13,13,14,mat,1
GP,GT3,3,1,reputation,mother,1,2,1,no,no,no,yes,yes,yes,yes,3,3,16,9,8,7,mat,0
GP,GT3,3,2,course,mother,1,2,0,no,no,no,yes,no,yes,yes,3,4,10,16,15,15,mat,1
GP,LE3,2,3,reputation,father,1,2,0,no,yes,yes,no,no,yes,yes,3,3,2,12,11,12,mat,1
GP,LE3,2,1,course,mother,4,2,0,yes,yes,yes,yes,yes,yes,yes,3,2,14,10,8,9,mat,0
GP,GT3,2,1,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,2,3,10,12,10,12,mat,1
GP,LE3,4,3,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,2,3,14,13,13,14,mat,1
GP,GT3,2,2,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,5,2,4,11,11,11,mat,1
GP,GT3,4,4,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,5,5,14,11,9,9,mat,0
GP,GT3,4,4,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,2,4,2,14,13,13,mat,1
GP,LE3,1,1,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,4,2,18,9,7,6,mat,0
GP,GT3,3,2,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,3,3,10,11,9,10,mat,1
GP,LE3,2,2,home,father,1,2,0,no,no,yes,yes,no,yes,yes,4,2,4,14,13,13,mat,1
GP,GT3,2,1,home,mother,1,1,0,no,no,no,no,yes,yes,yes,5,2,20,13,12,12,mat,1
GP,GT3,2,1,course,mother,3,2,0,no,no,no,yes,yes,yes,no,1,1,2,13,11,11,mat,1
GP,LE3,4,3,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,5,5,14,12,12,12,mat,1
GP,LE3,4,4,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,3,3,2,10,11,12,mat,1
GP,GT3,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,3,2,0,13,12,12,mat,1
GP,GT3,2,1,course,mother,3,1,0,no,no,no,no,yes,yes,yes,3,3,6,18,18,18,mat,1
GP,GT3,2,3,course,father,2,1,0,no,no,no,no,yes,yes,yes,2,2,4,12,12,13,mat,1
GP,GT3,3,1,other,mother,1,1,3,no,no,no,no,no,no,yes,4,5,16,6,8,8,mat,0
GP,LE3,3,3,course,mother,1,2,1,no,yes,no,no,yes,yes,yes,3,3,8,3,5,5,mat,0
GP,GT3,0,2,other,mother,1,1,0,no,no,yes,no,no,yes,yes,3,2,0,13,15,15,mat,1
GP,GT3,3,2,course,mother,2,1,1,no,no,no,no,yes,no,yes,4,5,0,6,8,8,mat,0
GP,GT3,3,3,reputation,other,3,2,0,yes,yes,no,no,no,yes,yes,3,3,6,7,10,10,mat,1
GP,GT3,2,1,other,mother,1,1,1,no,no,no,no,no,no,yes,2,5,4,6,9,8,mat,0
GP,GT3,2,1,course,mother,2,1,0,no,no,no,yes,no,yes,no,3,2,0,8,9,8,mat,0
GP,GT3,2,1,course,mother,1,1,0,no,no,no,no,no,yes,yes,4,2,0,8,12,12,mat,1
GP,LE3,1,1,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,4,4,2,7,9,8,mat,0
GP,LE3,4,2,reputation,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,2,3,6,14,12,13,mat,1
GP,LE3,4,3,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,3,1,12,11,11,11,mat,1
GP,GT3,2,1,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,2,4,8,15,14,14,mat,1
GP,GT3,4,3,home,father,1,2,0,no,yes,yes,no,yes,yes,yes,1,2,21,17,18,18,mat,1
GP,GT3,4,3,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,3,2,2,8,8,8,mat,0
GP,GT3,3,2,course,mother,1,3,0,no,no,no,yes,no,yes,no,3,2,1,13,12,12,mat,1
GP,GT3,3,3,home,mother,1,3,0,no,no,no,yes,no,yes,no,2,3,4,10,9,9,mat,0
GP,LE3,3,4,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,2,5,13,17,17,17,mat,1
